Node,S30,S10,S90,S120,S30 in liter,S10 in liter,S90 liter,S120 in liter,Rain,Max Wind Spd km/h,Min Temp,Max Temp,Daily water usage,Duration of Sprinkler
1,12.79,14.8,16.96,9.6,38.37,14.8,152.64,115.2,0,37,20.2,32,4078,30
1,12.79,14.8,16.96,9.61,38.37,14.8,152.64,115.32,0,37,20.2,32,4078,30
1,12.79,14.8,16.96,9.6,38.37,14.8,152.64,115.2,0,37,20.2,32,4078,30
1,12.8,14.8,16.96,9.61,38.4,14.8,152.64,115.32,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.61,38.43,14.8,152.64,115.32,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.6,38.43,14.8,152.64,115.2,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.6,38.43,14.8,152.64,115.2,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.6,38.43,14.8,152.64,115.2,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.8,16.96,9.59,38.43,14.8,152.64,115.08,0,37,20.2,32,4078,30
1,12.81,14.79,16.96,9.59,38.43,14.79,152.64,115.08,0,37,20.2,32,3659,27
1,12.58,14.69,16.89,9.47,37.74,14.69,152.01,113.64,0,35,22.6,31.3,2500,24
1,12.59,14.69,16.89,9.48,37.77,14.69,152.01,113.76,0,35,22.6,31.3,2500,22
1,12.59,14.69,16.89,9.48,37.77,14.69,152.01,113.76,0,35,22.6,31.3,2500,24
1,12.59,14.69,16.89,9.48,37.77,14.69,152.01,113.76,0,35,22.6,31.3,2500,24
1,12.6,14.69,16.89,9.48,37.8,14.69,152.01,113.76,0,35,22.6,31.3,2500,24
